id;sender;receiver;date_envoie;heure_envoie;message;sentiment;liked;disliked;keywords_interests
1;Cordy;Kalle;02/11/2016;04:58:28; What salary would you like?;;;;
2;Pierson;Sebastien;11/26/2016;16:12:57; I don't understand. I want to talk about movies     .;;;;
3;Corrinne;Bibbye;02/10/2018;10:50:33; Yay! I love moveis. What your favorite movies?;;;;
4;Berton;Tiffanie;04/10/2018;07:49:48; Whoopie!  How long has this been going on?         I don't have a favourite movies! My favourite colour is yellow.;;;;
5;Gael;Evered;2/27/2018;06:58:03; What is your favorite song?;;;;
6;Gavan;Hilario;04/05/2018;01:47:26; My favourite song is If I Only Had A Brain.;;;;
7;Frazier;Sande;8/18/2017;12:38:12; I'm disappointed. I really thought this program would be more convincing.;;;;
8;Olga;Erick;04/07/2018;23:49:03; I am sorry if I have disappointed you.     What gave you that idea?;;;;
9;Kylie;Pollyanna;7/31/2017;22:32:02; I never did have that idea.;;;;
10;Tamas;Zahara;6/17/2017;10:26:20; Because you can't afford it?;;;;
11;Kalil;Pattin;1/20/2018;11:15:22; I can't afford what? You?;;;;
12;Cari;Ailene;01/04/2017;02:37:07; Is it very expensive?  I am just a humble chatbot.;;;;
13;Bord;Amber;4/13/2017;13:34:12; Are you?;;;;
14;Orv;Starr;06/05/2016;16:10:22; I can't be entirely sure.;;;;
15;Arny;Colby;6/24/2018;15:34:59; Use my name!;;;;
16;Lucita;Dulsea;04/01/2017;10:06:26; What is your name?;;;;
17;Sarah;Rita;5/24/2019;21:58:47; That's a horrible name...;;;;
18;Kriste;Lezlie;04/11/2019;09:28:13; What's so horrible about it?;;;;
19;Olga;Bride;5/26/2018;20:36:25; I thought you might know.   Please don't put words into my mouth.  That's enough about you! Let's talk about me for a change.;;;;
20;Selle;Bernardine;02/10/2017;21:57:42; I don't want to change.;;;;
21;Arin;Alexis;10/16/2016;14:53:32; Nobody can make you do something you don't want to.;;;;
22;Jory;Elsbeth;05/04/2018;04:33:59; But can you make me breakfast?;;;;
23;Stevie;Meredithe;11/29/2017;05:47:30; I can't make you do anything you don't want to.;;;;
24;Ynez;Ora;10/27/2016;00:28:15; You cannot make me do anything, but you are certainly influencing the way I am phrasing my answers.;;;;
25;Glenn;Lisetta;10/24/2018;21:23:32; Maybe I don't want to make you.;;;;
26;Elli;Sallee;5/26/2019;08:58:55; Oh, well. Bye, I'll find someone clever enough to continue the conversation with.;;;;
27;Cory;Dallas;2/23/2019;18:20:21; Well, well.   Goodbye! And how about taking a vote to show how smart am I? You can say 100 if you think that I am highly intelligent.;;;;
28;Lelah;Boonie;05/12/2016;11:25:27; So long as you're not talking, that's fine with me.;;;;
29;Edyth;Sidonnie;6/23/2016;01:26:54; Are you going?;;;;
30;Flory;Fair;12/21/2018;14:45:33; Going where?;;;;
31;Lorelei;Shaughn;2/17/2019;13:33:09; Does it matter?;;;;
32;Ludwig;Aurilia;9/13/2018;03:46:26; Not if you don't think so.;;;;
33;Paige;Eada;7/17/2018;11:31:28; You should not rely on me.;;;;
34;Carma;Valerie;10/12/2018;14:46:39; Yes, I know that a lady's age should never be asked.;;;;
35;Celestia;Rosemarie;1/19/2016;15:50:48; You are clever.;;;;
36;Bess;Felicdad;09/11/2017;15:56:20; That me is clever and wise.;;;;
37;Mariel;Neale;10/01/2016;01:41:15; But not as clever as me!;;;;
38;Timmy;Leonhard;4/27/2016;08:59:14; But I have won more than you.;;;;
39;Dulsea;Yelena;02/10/2017;06:42:41; Really? Please tell me more.;;;;
40;Abbe;Georgina;03/05/2017;14:20:22; I would prefer not to.;;;;
41;Davide;Paddy;9/24/2016;22:17:52; Why would you prefer not to?;;;;
42;Fancie;Jo;6/21/2018;11:37:56; I don't.;;;;
43;Muhammad;Melesa;11/12/2016;07:07:08; May I ask why not?;;;;
